text,label
I love this product! Best purchase ever.🤣 #happy,positive
Terrible service... never coming back! @Company,negative
Check out our website for amazing deals: https://example.com,neutral
"Product arrived late, but quality is great. 🤞🤞Thanks!",positive
Why is this app so slow? Fix it! afrustrated✌,negative
Amazing experience! Highly recommend this place.⭐⭐⭐⭐⭐⭐,positive
Horrible! Totally waste of money.😊👍✌,negative
Superb customer servicel Keep it up. 👍👍@Support Team,positive
Great value for money. will buy again! #satisfied,positive
Disappointed with the packaging. Could be better.⭐,negative
